Company:
taco-a-taco
Day: 
16:11:2015
Period:
19:00 - 21:00
Services:
Catarina Castro, 05-BB-99, Conchita Gomez, 19:00, 19:30, baixa, 25, charges
Nuno Santos, 34-TU-16, Hugo Klim, 19:05, 19:35, baixa, 25, standby
Ana Campos, 19-HI-34, Michelle Williams, 19:35, 19:40, minibaixa, 15, charges
Daniel Silva, 17-GD-86, Zoe Crimson, 19:35, 19:45, minibaixa, 15, standby
Jorge Sousa, 17-GD-87, Franz Beckenbauer, 19:15, 19:45, belem, 40, standby
Daniel Silva, 17-GD-86, Albert Einstein, 19:45, 20:05, castelo, 45, standby
Nuno Santos, 34-TU-16, John Malkovich, 20:00, 20:05, minibaixa, 20, standby
Catarina Castro, 05-BB-99, _no_client_, 20:30, 20:30, _no_circuit_, 0, standby
Ana Campos, 19-HI-34, _no_client_, 20:40, 20:40, _no_circuit_, 0, standby
Daniel Silva, 17-GD-86, Chris Melga, 20:05, 21:05, castelo, 45, standby
Catarina Castro, 05-BB-99, Mike Shubert, 20:30, 21:20, sintra, 80, standby
